iter	Passed	Remaining
490	672	696
491	678	700
492	679	699
493	680	697
494	681	695
495	682	693
496	682	690
497	683	688
498	683	686
499	684	684
500	685	682
501	685	680
502	686	678
503	686	676
504	687	673
505	694	677
506	694	675
507	695	673
508	696	671
509	697	669
510	697	667
511	698	665
512	699	663
513	700	661
514	700	659
515	701	657
516	701	655
517	702	653
518	702	651
519	709	654
520	710	653
521	711	651
522	712	649
523	713	647
524	713	645
525	714	643
526	714	641
527	715	639
528	716	637
529	716	635
530	717	633
531	717	631
532	718	629
533	723	631
534	724	630
535	725	628
536	726	626
537	726	624
538	727	622
539	727	620
540	728	618
541	729	616
542	729	614
543	730	612
544	730	610
545	731	608
546	732	606
547	732	604
548	736	605
549	737	603
550	738	601
551	739	600
552	740	598
553	741	596
554	741	594
555	742	592
556	742	590
557	743	588
558	744	587
559	744	585
560	745	583
561	745	581
562	746	579
563	746	577
564	754	580
565	755	579
566	756	577
567	757	575
568	757	573
569	758	571
570	758	570
571	759	568
572	759	566
573	760	564
574	760	562
575	761	560
576	762	558
577	767	560
578	769	559
579	770	558
580	771	556
581	772	554
582	773	553
583	774	551
584	774	549
585	775	547
586	775	545
587	776	543
588	776	542
589	777	540
590	784	542
591	785	541
592	786	539
593	787	537
594	787	536
595	788	534
596	788	532
597	789	530
598	789	528
599	790	526
600	791	525
601	791	523
602	792	521
603	792	519
604	803	524
605	804	523
606	805	521
607	805	519
608	806	517
609	807	515
610	807	514
611	808	512
612	815	515
613	816	513
614	817	511
615	817	509
616	818	508
617	819	506
618	819	504
619	820	502
620	823	502
621	827	503
622	828	501
623	829	499
624	830	498
625	831	496
626	832	495
627	832	493
628	833	491
629	833	489
630	834	487
631	834	486
632	835	484
633	841	485
634	844	485
635	845	483
636	845	482
637	846	480
638	846	478
639	847	476
640	848	474
641	848	473
642	849	471
643	850	469
644	858	472
645	859	471
646	861	470
647	863	468
648	863	467
649	865	466
650	866	464
651	870	464
652	914	485
653	915	484
654	916	482
655	917	481
656	918	479
657	919	477
658	920	476
659	921	474
660	925	474
661	926	473
662	927	471
663	928	469
664	929	468
665	931	467
666	932	465
667	933	463
668	934	462
669	934	460
670	936	458
671	938	458
672	940	456
673	941	455
674	942	453
675	943	452
676	944	450
677	945	449
678	946	447
679	947	445
680	948	444
681	956	446
682	957	444
683	958	442
684	959	441
685	960	439
686	961	438
687	962	436
688	963	435
689	964	433
690	965	431
691	966	430
692	970	429
693	971	428
694	972	426
695	973	425
696	974	423
697	975	421
698	976	420
699	977	418
700	977	417
701	978	415
702	979	413
703	980	412
704	981	410
705	985	410
706	986	408
707	987	407
708	988	405
709	989	404
710	989	402
711	990	400
712	991	399
713	1000	400
714	1002	399
715	1003	398
716	1004	396
717	1005	394
718	1006	393
719	1007	391
720	1008	390
721	1009	388
722	1010	387
723	1011	385
724	1012	384
725	1017	383
726	1018	382
727	1018	380
728	1019	378
729	1020	377
730	1020	375
731	1021	374
732	1022	372
733	1022	370
734	1023	368
735	1023	367
736	1024	365
737	1025	363
738	1025	362
739	1026	360
740	1026	358
741	1027	357
742	1028	355
743	1030	354
744	1031	352
745	1031	351
746	1032	349
747	1033	348
748	1034	346
749	1035	345
750	1035	343
751	1036	341
752	1036	340
753	1037	338
754	1038	336
755	1038	335
756	1039	333
757	1039	331
758	1040	330
759	1040	328
760	1041	327
761	1042	325
762	1042	323
763	1045	322
764	1046	321
765	1047	319
766	1047	318
767	1048	316
768	1049	315
769	1050	313
770	1050	312
771	1051	310
772	1052	309
773	1053	307
774	1053	305
775	1054	304
776	1054	302
777	1055	301
778	1055	299
779	1056	298
780	1058	296
781	1059	295
782	1060	293
783	1061	292
784	1062	290
785	1062	289
786	1063	287
787	1064	286
788	1064	284
789	1065	283
790	1066	281
791	1067	280
792	1067	278
793	1068	277
794	1068	275
795	1069	274
796	1070	272
797	1070	271
798	1071	269
799	1072	268
800	1073	266
801	1074	265
802	1075	263
803	1075	262
804	1076	260
805	1077	259
806	1077	257
807	1078	256
808	1079	254
809	1079	253
810	1080	251
811	1080	250
812	1081	248
813	1081	247
814	1082	245
815	1083	244
816	1083	242
817	1084	241
818	1084	239
819	1085	238
820	1086	236
821	1086	235
822	1088	234
823	1089	232
824	1089	231
825	1090	229
826	1091	228
827	1091	226
828	1092	225
829	1092	223
830	1093	222
831	1094	220
832	1094	219
833	1095	217
834	1095	216
835	1096	215
836	1097	213
837	1098	212
838	1098	210
839	1099	209
840	1100	208
841	1100	206
842	1102	205
843	1103	203
844	1103	202
845	1104	201
846	1105	199
847	1105	198
848	1106	196
849	1107	195
850	1108	194
851	1108	192
852	1109	191
853	1110	189
854	1111	188
855	1112	187
856	1112	185
857	1113	184
858	1114	182
859	1114	181
860	1117	180
861	1118	179
862	1119	177
863	1119	176
864	1120	174
865	1121	173
866	1122	172
867	1123	170
868	1123	169
869	1124	168
870	1125	166
871	1125	165
872	1126	163
873	1127	162
874	1128	161
875	1128	159
876	1129	158
877	1130	157
878	1131	155
879	1132	154
880	1133	153
881	1134	151
882	1134	150
883	1135	149
884	1136	147
885	1136	146
886	1137	144
887	1137	143
888	1138	142
889	1138	140
890	1139	139
891	1139	138
892	1140	136
893	1141	135
894	1141	133
895	1142	132
896	1142	131
897	1143	129
898	1144	128
899	1144	127
900	1145	125
901	1146	124
902	1147	123
903	1148	121
904	1149	120
905	1149	119
906	1150	117
907	1150	116
908	1151	115
909	1152	113
910	1152	112
911	1153	111
912	1154	109
913	1154	108
914	1155	107
915	1155	105
916	1156	104
917	1156	103
918	1157	102
919	1158	100
920	1158	99
921	1159	98
922	1160	96
923	1161	95
924	1162	94
925	1163	92
926	1163	91
927	1164	90
928	1165	89
929	1165	87
930	1166	86
931	1167	85
932	1167	83
933	1168	82
934	1168	81
935	1169	79
936	1169	78
937	1170	77
938	1171	76
939	1171	74
940	1172	73
941	1172	72
942	1173	70
943	1174	69
944	1174	68
945	1176	67
946	1177	65
947	1177	64
948	1178	63
949	1179	62
950	1179	60
951	1180	59
952	1182	58
953	1183	57
954	1184	55
955	1185	54
956	1186	53
957	1186	52
958	1187	50
959	1187	49
960	1188	48
961	1189	46
962	1190	45
963	1191	44
964	1192	43
965	1193	41
966	1193	40
967	1194	39
968	1194	38
969	1195	36
970	1196	35
971	1196	34
972	1197	33
973	1198	31
974	1198	30
975	1199	29
976	1199	28
977	1200	27
978	1200	25
979	1201	24
980	1202	23
981	1202	22
982	1204	20
983	1205	19
984	1206	18
985	1207	17
986	1208	15
987	1210	14
988	1211	13
989	1211	12
990	1212	11
991	1213	9
992	1213	8
993	1214	7
994	1214	6
995	1215	4
996	1216	3
997	1216	2
998	1217	1
999	1217	0
